track_title,album,artist,track_num,duration,cumulative_duration,start,end,single_count
Tennis Court,Pure Heroine,Lorde,1,3:19,3:19,0:00,3:19,2
400 Lux,Pure Heroine,Lorde,2,3:54,7:13,3:19,7:13,0
Royals,Pure Heroine,Lorde,3,3:10,10:23,7:13,10:23,1
Ribs,Pure Heroine,Lorde,4,4:19,14:42,10:23,14:42,0
Buzzcut Season,Pure Heroine,Lorde,5,4:07,18:47,14:42,18:47,0
Team,Pure Heroine,Lorde,6,3:13,22:00,18:47,22:00,3
Glory and Gore,Pure Heroine,Lorde,7,3:31,25:31,22:00,25:31,4
Still Sane,Pure Heroine,Lorde,8,3:08,28:39,25:31,28:39,0
White Teeth Teens,Pure Heroine,Lorde,9,3:37,32:16,28:39,32:16,0
A World Alone,Pure Heroine,Lorde,10,4:54,37:10,32:16,37:10,0
